ID,Email,Timestamp,Region,Latitude,Longitude,"Network Category","Network Type",Operator,"RSRP (dBm)","RSRQ (dB)","SINR (dB)","RSSI (dBm)","Cell ID",eNB,TAC,PCI,"Data State",Roaming,"Device Model",Platform,"OS Version","IP Address"
1125,Anonymous,"2026-02-11 16:51:06","Addis Ababa",9.0165108,38.8921179,4G,"4G LTE",,-81,-10,,,7,113052,11206,384,,No,,,,
1124,Anonymous,"2026-02-11 16:49:48","Addis Ababa",9.0165108,38.8921179,4G,"4G LTE",,-83,-12,,,7,113052,11206,384,,No,,,,
1123,Anonymous,"2026-02-11 16:49:43","Addis Ababa",9.0165034,38.8921134,4G,"4G LTE",,-83,-12,,,7,113052,11206,384,,No,,,,
1122,Anonymous,"2026-02-11 16:49:18","Addis Ababa",9.0165034,38.8921134,4G,"4G LTE",,-81,-12,,,7,113052,11206,384,,No,,,,
1121,Anonymous,"2026-02-11 16:49:05","Addis Ababa",9.0165146,38.8921233,4G,"4G LTE",,-81,-12,,,7,113052,11206,384,,No,,,,
1120,Anonymous,"2026-02-11 16:48:53","Addis Ababa",9.0165146,38.8921233,4G,"4G LTE",,-80,-10,,,7,113052,11206,384,,No,,,,
1119,Anonymous,"2026-02-11 16:48:48","Addis Ababa",9.0165146,38.8921233,4G,"4G LTE",,-82,-12,,,7,113052,11206,384,,No,,,,
1118,Anonymous,"2026-02-11 16:48:18","Addis Ababa",9.0165096,38.8921246,4G,"4G LTE",,-82,-12,,,7,113052,11206,384,,No,,,,
1117,Anonymous,"2026-02-11 16:47:55","Addis Ababa",9.0165092,38.8921101,4G,"4G LTE",,-82,-11,,,7,113052,11206,384,,No,,,,
1116,Anonymous,"2026-02-11 16:47:48","Addis Ababa",9.0165092,38.8921101,4G,"4G LTE",,-81,-11,,,7,113052,11206,384,,No,,,,
1115,Anonymous,"2026-02-11 16:47:25","Addis Ababa",9.0165201,38.8921189,4G,"4G LTE",,-81,-10,,,7,113052,11206,384,,No,,,,
1114,Anonymous,"2026-02-11 16:47:18","Addis Ababa",9.0165201,38.8921189,4G,"4G LTE",,-79,-7,,,7,113052,11206,384,,No,,,,
1113,Anonymous,"2026-02-11 16:47:07","Addis Ababa",9.0165556,38.8921526,4G,"4G LTE",,-79,-7,,,7,113052,11206,384,,No,,,,
1112,Anonymous,"2026-02-11 16:46:48","Addis Ababa",9.0165556,38.8921526,4G,"4G LTE",,-81,-10,,,7,113052,11206,384,,No,,,,
1111,Anonymous,"2026-02-11 16:46:45","Addis Ababa",9.0165108,38.8921180,4G,"4G LTE",,-81,-10,,,7,113052,11206,384,,No,,,,
1110,Anonymous,"2026-02-11 16:46:25","Addis Ababa",9.0165108,38.8921180,4G,"4G LTE",,-78,-10,,,7,113052,11206,384,,No,,,,
1109,Anonymous,"2026-02-11 16:46:18","Addis Ababa",9.0165108,38.8921180,4G,"4G LTE",,-79,-5,,,7,113052,11206,384,,No,,,,
1108,Anonymous,"2026-02-11 16:46:03","Addis Ababa",9.0165624,38.8921580,4G,"4G LTE",,-79,-5,,,7,113052,11206,384,,No,,,,
1107,Anonymous,"2026-02-11 16:45:47","Addis Ababa",9.0165624,38.8921580,4G,"4G LTE",,-78,-5,,,7,113052,11206,384,,No,,,,
1106,Anonymous,"2026-02-11 16:45:45","Addis Ababa",9.0165624,38.8921580,4G,"4G LTE",,-80,-7,,,7,113052,11206,384,,No,,,,
1105,Anonymous,"2026-02-11 13:39:07","Addis Ababa",9.0023363,38.7668184,4G,"4G LTE",,-80,-8,,,4,113955,11243,97,,No,,,,
1104,Anonymous,"2026-02-11 13:38:59","Addis Ababa",9.0023363,38.7668184,4G,"4G LTE",,-82,-6,,,4,113955,11243,97,,No,,,,
1103,Anonymous,"2026-02-11 13:38:57","Addis Ababa",9.0023744,38.7668047,4G,"4G LTE",,-82,-6,,,4,113955,11243,97,,No,,,,
1102,Anonymous,"2026-02-11 13:38:47","Addis Ababa",9.0023744,38.7668047,4G,"4G LTE",,-71,-6,,,4,113955,11243,97,,No,,,,
1101,Anonymous,"2026-02-11 13:38:29","Addis Ababa",9.0023744,38.7668047,4G,"4G LTE",,-80,-5,,,4,113955,11243,97,,No,,,,
1100,Anonymous,"2026-02-11 13:38:29","Addis Ababa",9.0023325,38.7668192,4G,"4G LTE",,-80,-5,,,4,113955,11243,97,,No,,,,
1099,Anonymous,"2026-02-11 13:35:45","Addis Ababa",9.0023325,38.7668192,4G,"4G LTE",,-74,-6,,,4,113955,11243,97,,No,,,,
1098,Anonymous,"2026-02-11 13:35:26","Addis Ababa",9.0023325,38.7668192,4G,"4G LTE",,-82,-6,,,4,113955,11243,97,,No,,,,
1097,Anonymous,"2026-02-11 13:35:22","Addis Ababa",9.0023333,38.7668225,4G,"4G LTE",,-82,-6,,,4,113955,11243,97,,No,,,,
1096,Anonymous,"2026-02-11 13:35:04","Addis Ababa",9.0023333,38.7668225,4G,"4G LTE",,-73,-5,,,4,113955,11243,97,,No,,,,
1095,Anonymous,"2026-02-11 13:34:58","Addis Ababa",9.0023333,38.7668225,4G,"4G LTE",,-79,-5,,,4,113955,11243,97,,No,,,,
1094,Anonymous,"2026-02-11 13:33:36","Addis Ababa",9.0023930,38.7668556,4G,"4G LTE",,-73,-7,,,4,113955,11243,97,,No,,,,
1093,Anonymous,"2026-02-11 13:33:34","Addis Ababa",9.0023930,38.7668556,4G,"4G LTE",,-81,-7,,,4,113955,11243,97,,No,,,,
1092,Anonymous,"2026-02-11 13:33:03","Addis Ababa",9.0023494,38.7668118,4G,"4G LTE",,-81,-7,,,4,113955,11243,97,,No,,,,
1091,Anonymous,"2026-02-11 13:32:53","Addis Ababa",9.0023494,38.7668118,4G,"4G LTE",,-79,-5,,,4,113955,11243,97,,No,,,,
1090,Anonymous,"2026-02-11 13:32:47","Addis Ababa",9.0023494,38.7668118,4G,"4G LTE",,-74,-6,,,4,113955,11243,97,,No,,,,
1089,Anonymous,"2026-02-11 13:32:35","Addis Ababa",9.0023425,38.7668055,4G,"4G LTE",,-74,-6,,,4,113955,11243,97,,No,,,,
1088,Anonymous,"2026-02-11 13:32:17","Addis Ababa",9.0023425,38.7668055,4G,"4G LTE",,-75,-6,,,4,113955,11243,97,,No,,,,
1087,Anonymous,"2026-02-11 13:32:15","Addis Ababa",9.0023485,38.7668160,4G,"4G LTE",,-75,-6,,,4,113955,11243,97,,No,,,,
1086,Anonymous,"2026-02-11 13:32:05","Addis Ababa",9.0023485,38.7668160,4G,"4G LTE",,-79,-6,,,4,113955,11243,97,,No,,,,
1085,Anonymous,"2026-02-11 13:31:57","Addis Ababa",9.0023485,38.7668160,4G,"4G LTE",,-74,-7,,,4,113955,11243,97,,No,,,,
1084,Anonymous,"2026-02-11 13:31:55","Addis Ababa",9.0023332,38.7668139,4G,"4G LTE",,-74,-7,,,4,113955,11243,97,,No,,,,
1083,Anonymous,"2026-02-11 13:31:41","Addis Ababa",9.0023332,38.7668139,4G,"4G LTE",,-77,-7,,,4,113955,11243,97,,No,,,,
1082,Anonymous,"2026-02-11 13:31:31","Addis Ababa",9.0023332,38.7668139,4G,"4G LTE",,-78,-7,,,4,113955,11243,97,,No,,,,
1081,Anonymous,"2026-02-11 13:31:17","Addis Ababa",9.0023332,38.7668139,4G,"4G LTE",,-73,-7,,,4,113955,11243,97,,No,,,,
1080,Anonymous,"2026-02-11 13:31:11","Addis Ababa",9.0023359,38.7668135,4G,"4G LTE",,-73,-7,,,4,113955,11243,97,,No,,,,
1079,Anonymous,"2026-02-11 13:30:53","Addis Ababa",9.0023359,38.7668135,4G,"4G LTE",,-77,-7,,,4,113955,11243,97,,No,,,,
1078,Anonymous,"2026-02-11 13:30:47","Addis Ababa",9.0023359,38.7668135,4G,"4G LTE",,-76,-7,,,4,113955,11243,97,,No,,,,
1077,Anonymous,"2026-02-11 13:30:35","Addis Ababa",9.0023504,38.7668105,4G,"4G LTE",,-76,-7,,,4,113955,11243,97,,No,,,,
1076,Anonymous,"2026-02-11 13:30:23","Addis Ababa",9.0023504,38.7668105,4G,"4G LTE",,-82,-7,,,4,113955,11243,97,,No,,,,
1075,Anonymous,"2026-02-11 13:30:18","Addis Ababa",9.0023504,38.7668105,4G,"4G LTE",,-85,-7,,,4,113955,11243,97,,No,,,,
1074,Anonymous,"2026-02-11 11:36:56","Addis Ababa",9.0023147,38.7668122,4G,"4G LTE",,-87,-11,,,4,113955,11243,97,,No,,,,
1073,Anonymous,"2026-02-11 11:36:40","Addis Ababa",9.0023147,38.7668122,4G,"4G LTE",,-84,-9,,,4,113955,11243,97,,No,,,,
1072,Anonymous,"2026-02-11 11:36:38","Addis Ababa",9.0023260,38.7668216,4G,"4G LTE",,-84,-9,,,4,113955,11243,97,,No,,,,
1071,Anonymous,"2026-02-11 11:36:26","Addis Ababa",9.0023260,38.7668216,4G,"4G LTE",,-85,-10,,,4,113955,11243,97,,No,,,,
1070,Anonymous,"2026-02-11 11:36:10","Addis Ababa",9.0023260,38.7668216,4G,"4G LTE",,-84,-10,,,4,113955,11243,97,,No,,,,
1069,Anonymous,"2026-02-11 11:35:46","Addis Ababa",9.0023009,38.7668111,4G,"4G LTE",,-84,-9,,,4,113955,11243,97,,No,,,,
1068,Anonymous,"2026-02-11 11:35:40","Addis Ababa",9.0023009,38.7668111,4G,"4G LTE",,-86,-11,,,4,113955,11243,97,,No,,,,
1067,Anonymous,"2026-02-11 11:35:26","Addis Ababa",9.0023060,38.7668112,4G,"4G LTE",,-86,-11,,,4,113955,11243,97,,No,,,,
1066,Anonymous,"2026-02-11 11:35:16","Addis Ababa",9.0023060,38.7668112,4G,"4G LTE",,-88,-12,,,4,113955,11243,97,,No,,,,
1065,Anonymous,"2026-02-11 11:35:10","Addis Ababa",9.0023060,38.7668112,4G,"4G LTE",,-87,-12,,,4,113955,11243,97,,No,,,,
1064,Anonymous,"2026-02-11 11:35:06","Addis Ababa",9.0022912,38.7668059,4G,"4G LTE",,-87,-12,,,4,113955,11243,97,,No,,,,
1063,Anonymous,"2026-02-11 11:34:40","Addis Ababa",9.0022912,38.7668059,4G,"4G LTE",,-86,-11,,,4,113955,11243,97,,No,,,,
1062,Anonymous,"2026-02-11 11:34:36","Addis Ababa",9.0023294,38.7668192,4G,"4G LTE",,-86,-11,,,4,113955,11243,97,,No,,,,
1061,Anonymous,"2026-02-11 11:34:26","Addis Ababa",9.0023294,38.7668192,4G,"4G LTE",,-87,-12,,,4,113955,11243,97,,No,,,,
1060,Anonymous,"2026-02-11 11:34:10","Addis Ababa",9.0023294,38.7668192,4G,"4G LTE",,-85,-10,,,4,113955,11243,97,,No,,,,
1059,Anonymous,"2026-02-11 11:34:06","Addis Ababa",9.0023383,38.7668267,4G,"4G LTE",,-85,-10,,,4,113955,11243,97,,No,,,,
1058,Anonymous,"2026-02-11 11:33:47","Addis Ababa",9.0023383,38.7668267,4G,"4G LTE",,-78,-7,,,4,113955,11243,97,,No,,,,
1057,Anonymous,"2026-02-11 11:33:40","Addis Ababa",9.0023383,38.7668267,4G,"4G LTE",,-79,-8,,,4,113955,11243,97,,No,,,,
1056,Anonymous,"2026-02-11 11:33:25","Addis Ababa",9.0023259,38.7668165,4G,"4G LTE",,-79,-8,,,4,113955,11243,97,,No,,,,
1055,Anonymous,"2026-02-11 11:33:15","Addis Ababa",9.0023259,38.7668165,4G,"4G LTE",,-80,-7,,,4,113955,11243,97,,No,,,,
1054,Anonymous,"2026-02-11 11:33:10","Addis Ababa",9.0023259,38.7668165,4G,"4G LTE",,-85,-10,,,4,113955,11243,97,,No,,,,
1053,Anonymous,"2026-02-11 11:32:57","Addis Ababa",9.0023327,38.7668177,4G,"4G LTE",,-85,-10,,,4,113955,11243,97,,No,,,,
1052,Anonymous,"2026-02-11 11:32:45","Addis Ababa",9.0023327,38.7668177,4G,"4G LTE",,-79,-9,,,4,113955,11243,97,,No,,,,
1051,Anonymous,"2026-02-11 11:32:40","Addis Ababa",9.0023327,38.7668177,4G,"4G LTE",,-83,-8,,,4,113955,11243,97,,No,,,,
1050,Anonymous,"2026-02-11 11:32:25","Addis Ababa",9.0023160,38.7668118,4G,"4G LTE",,-83,-8,,,4,113955,11243,97,,No,,,,
1049,Anonymous,"2026-02-11 11:32:15","Addis Ababa",9.0023160,38.7668118,4G,"4G LTE",,-84,-9,,,4,113955,11243,97,,No,,,,
1048,Anonymous,"2026-02-11 11:32:09","Addis Ababa",9.0023160,38.7668118,4G,"4G LTE",,-82,-9,,,4,113955,11243,97,,No,,,,
1047,Anonymous,"2026-02-11 11:32:05","Addis Ababa",9.0023201,38.7668148,4G,"4G LTE",,-82,-9,,,4,113955,11243,97,,No,,,,
1046,Anonymous,"2026-02-11 11:31:45","Addis Ababa",9.0023201,38.7668148,4G,"4G LTE",,-83,-9,,,4,113955,11243,97,,No,,,,
1045,Anonymous,"2026-02-11 11:31:40","Addis Ababa",9.0023201,38.7668148,4G,"4G LTE",,-82,-8,,,4,113955,11243,97,,No,,,,
1044,Anonymous,"2026-02-11 11:31:25","Addis Ababa",9.0023128,38.7668122,4G,"4G LTE",,-82,-8,,,4,113955,11243,97,,No,,,,
1043,Anonymous,"2026-02-11 11:31:09","Addis Ababa",9.0023128,38.7668122,4G,"4G LTE",,-83,-10,,,4,113955,11243,97,,No,,,,
1042,Anonymous,"2026-02-11 11:31:03","Addis Ababa",9.0023208,38.7668134,4G,"4G LTE",,-83,-10,,,4,113955,11243,97,,No,,,,
1041,Anonymous,"2026-02-11 11:30:51","Addis Ababa",9.0023208,38.7668134,4G,"4G LTE",,-82,-8,,,4,113955,11243,97,,No,,,,
1040,Anonymous,"2026-02-11 11:30:41","Addis Ababa",9.0023208,38.7668134,4G,"4G LTE",,-83,-8,,,4,113955,11243,97,,No,,,,
1039,Anonymous,"2026-02-11 11:30:39","Addis Ababa",9.0023208,38.7668134,4G,"4G LTE",,-81,-7,,,4,113955,11243,97,,No,,,,
1038,Anonymous,"2026-02-11 11:30:21","Addis Ababa",9.0023163,38.7668093,4G,"4G LTE",,-81,-7,,,4,113955,11243,97,,No,,,,
1037,Anonymous,"2026-02-11 11:30:16","Addis Ababa",9.0023163,38.7668093,4G,"4G LTE",,-82,-9,,,4,113955,11243,97,,No,,,,
1036,Anonymous,"2026-02-11 11:30:11","Addis Ababa",9.0023218,38.7668094,4G,"4G LTE",,-82,-9,,,4,113955,11243,97,,No,,,,
1035,Anonymous,"2026-02-11 11:30:01","Addis Ababa",9.0023218,38.7668094,4G,"4G LTE",,-83,-8,,,4,113955,11243,97,,No,,,,
1034,Anonymous,"2026-02-11 11:29:45","Addis Ababa",9.0023218,38.7668094,4G,"4G LTE",,-82,-8,,,4,113955,11243,97,,No,,,,
1033,Anonymous,"2026-02-11 11:29:21","Addis Ababa",9.0023200,38.7668110,4G,"4G LTE",,-82,-7,,,4,113955,11243,97,,No,,,,
1032,Anonymous,"2026-02-11 11:29:12","Addis Ababa",9.0023200,38.7668110,4G,"4G LTE",,-83,-8,,,4,113955,11243,97,,No,,,,
