ID,Email,Timestamp,Region,"Overall Score (%)","Voice Score (%)","Data Score (%)","Voice Attempts","Voice Setup OK","Voice Completed","Voice Dropped","CSSR (%)","CDR (%)","Avg Setup Time (ms)","Browsing Requests","Browsing Completed","Streaming Requests","Streaming Completed","HTTP DL Requests","HTTP DL Completed","HTTP UL Requests","HTTP UL Completed","Social Requests","Social Completed","Latency Requests","Latency Completed",Latitude,Longitude,Platform,Model,"OS Version","IP Address","User Agent"
158,Anonymous,"2026-02-11 09:06:45","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023387,38.7668199,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
157,Anonymous,"2026-02-11 09:06:34","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023382,38.7668223,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
156,Anonymous,"2026-02-11 09:06:17","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023399,38.7668217,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
155,Anonymous,"2026-02-11 09:06:06","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023336,38.7668231,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
154,Anonymous,"2026-02-11 09:05:56","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023248,38.7668188,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
153,Anonymous,"2026-02-11 09:05:46","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023222,38.7668197,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
152,Anonymous,"2026-02-11 09:05:35","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023356,38.7668169,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
151,Anonymous,"2026-02-11 09:05:25","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023375,38.7668253,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
150,Anonymous,"2026-02-11 09:05:14","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023236,38.7668173,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
149,Anonymous,"2026-02-11 09:05:04","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023332,38.7668214,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
148,Anonymous,"2026-02-11 09:04:54","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023484,38.7668298,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
147,Anonymous,"2026-02-11 09:04:44","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023363,38.7668236,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
146,Anonymous,"2026-02-11 09:04:26","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023321,38.7668189,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
145,Anonymous,"2026-02-11 09:04:16","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.002335,38.7668228,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
144,Anonymous,"2026-02-11 09:04:05","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.002333,38.766823,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
143,Anonymous,"2026-02-11 09:03:55","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023194,38.7668165,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
142,Anonymous,"2026-02-11 09:03:45","Addis Ababa",0,0,0,4,4,1,3,100,75,0,27,27,27,27,29,29,30,30,2,2,30,30,9.0023298,38.7668234,android,SM-A536N,36,213.55.119.133,okhttp/4.12.0
